C_RAMA;2017 PROD;2017 CI;2018 PROD;2018 CI;2019 PROD;2019 CI
1;0.9999722887929021;0.9999720217260921;0.9999857108951806;0.9999218902582611;0.9997946522047003;0.9999564792303509
2;0.9999998676335474;0.999996176581132;0.9999997361480978;0.999986465543756;0.9999988624097995;0.9999449638507467
3;0.9999999920316449;0.9997684523338801;0.9999999710104136;0.9987663082861129;0.9999998258921587;0.9992357050055884
4;0.999900375956715;0.999824235586859;0.9994764946480255;0.9994942396104862;0.999608389556197;0.9993638079230166
5;0.9999996686949134;0.9998538919590588;0.9999965323827801;0.999996089757863;0.9999955646292166;0.9995906522127146
6;0.9999980482941131;0.999958915816034;0.9999967285799627;0.9999875313524051;0.9999958789145145;0.9996816691866183
7;0.9999911092473388;0.9999526821643648;0.9999845874272537;0.9999909633285969;0.999991234113772;0.9998521762913926
8;0.9999959652536536;0.9999549579672679;0.9999948269675489;0.9999603900351178;0.9999823901818738;0.9998560769414495
9;0.9999989410765521;0.9999417275119308;0.9999998379247832;0.999938444743787;0.9999987733859674;0.9996162573959088
10;0.9999992769577901;0.9999813456798092;0.999998568190778;0.9999732622559683;0.999997348477702;0.9999587352476811
11;0.9999998449246634;0.9999328390397454;0.9999998165763634;0.9998972667482308;0.9999991816505874;0.9998997278106496
12;0.9999999420834836;0.9999539248929379;0.9999998998128742;0.999973150569118;0.9999994003911817;0.9998467765761877
13;0.9999996805876386;0.999993830380822;0.9999982570791637;0.9999866281410886;0.9999973951941262;0.9999730393741609
14;0.999993426885977;0.9999730502974433;0.9999847984089775;0.9999537428795418;0.9999751057108267;0.9998880148551921
15;0.9999923442337739;0.9998754749521496;0.9999905410357062;0.9998187742565872;0.9999578405655156;0.9992728931931717
16;0.9999960735081189;0.9998819937502113;0.9999796477895179;0.9992912583313794;0.9999916262130856;0.9997051073309385
17;0.9999975428239866;0.9999856512071357;0.9999926112580324;0.9999581628153129;0.9999811508631802;0.9999468701656449
18;0.9999925682409482;0.9999410711319486;0.9999786648124095;0.9998815082782814;0.9999501946435305;0.999672924695158
19;0.999994941515231;0.9999842961639739;0.9999854056251568;0.999968780548356;0.9999516059595738;0.9999284189706134
20;0.9999590294691323;0.9998300583746517;0.9998248518299317;0.9994304236411699;0.9996473332996716;0.9987473364038472
21;0.9999997757381567;0.9998842240870773;0.9999997622273072;0.9998929942790696;0.9999897500567815;0.9998721726251778
22;0.999999294407539;0.9999771566897618;0.9999992064937314;0.9999901417528336;0.999997999486482;0.9999212984134017
23;0.9999905857885637;0.9999794709399293;0.9999812998845155;0.9999526000433514;0.9999695565931657;0.9998790499884324
24;0.9999945557403853;0.9999402439693469;0.9999817502567032;0.9999215905762421;0.9999485417201696;0.9998833347006834
25;0.9999962122428805;0.9999649483362205;0.9999978929235644;0.999957085439643;0.9999950720366454;0.9998909084978869
